0|000408|20170630|0.1518|20170829|20170901|20170901|20170829|20170517|-613.78|20170523
0|000409|20170630|-0.1406|20170831|20161031||20170629|20161024|-116.31|20170717
0|000410|20170630|-0.6500|20170831|20170821|20170710|20160411|20170706|1.00|20170717
0|000411|20170630|0.2000|20170826|20160715||20161227|20161102|-0.05|
0|000413|20170630|0.1300|20170811|20170328|20170328|20170817|20160930|0.20|
0|000415|20170630|0.1660|20170831|20170413|20170413|20160923|||
0|000416|20170630|0.0270|20170810|20170720|20170720|20160930|20170104|-1.76|20160509
0|000417|20170630|0.2263|20170816|20151223|||||
0|000418|20170630|1.1600|20170805|20160105|20170523||20170419|-0.04|
0|000419|20170630|0.1475|20170819|20160728|||||
0|000420|20170630|0.0291|20170729|20160226|||20170901|300.00|
0|000421|20170630|0.1167|20170810|20160425|||20161103|-0.20|
0|000422|20170630|0.0230|20170830|20150713|20170807|20170808|20161011|-0.43|20170807
0|000423|20170630|1.3783|20170815|20151221|||20170125|3271.08|
0|000425|20170630|0.0790|20170831|20170210||20161129|||20150119
0|000426|20170630|0.1102|20170831|20160803||20160921|20170908|-2.40|
0|000428|20170630|-0.1000|20170830|20150828|||20170411|0.18|20141230
0|000429|20170630|0.4300|20170829|20170412|20170717|20160108|||
0|000430|20170630|0.1200|20170822|20151027||20160318|20170615|281.43|
0|000488|20170630|0.7500|20170816|20161128|20170707|20170616|20170908|0.50|
0|000498|20170630|0.2312|20170825|20160504|20170712|20160620|||
0|000501|20170630|0.8800|20170826|20151223|||20170904|-9.75|
0|000502|20170630|-0.2100|20170818|20170523|20170612|20170524|||20170717
0|000503|20170630|-0.0890|20170826|20160314|20170510|20170511|20170103|50.32|20170510
0|000504|20170630|-0.0386|20170831|20170420|20170606|20170726|||20160927
0|000505|20170630|0.0400|20170825|20170608|20170608|20170622|20170507|1108.25|20170426
0|000506|20170630|-0.1448|20170829|20170220||20170425|20170322|-4645.08|20150216
0|000507|20170630|0.1253|20170829|20170613|20170803||||20170421
0|000509|20170630|-0.0131|20170826|20160809|20170717|20170718|||
0|000510|20170630|0.0594|20170817|20170614|20170710|20160721|20170907|196.82|20141223
0|000511|20170630|-0.0600|20170831|20170306||20170502|20161202|-0.03|20170428
0|000513|20170630|1.1900|20170823|20151112||20170414|20170324|0.01|
